sales_commission_code,discount_amount,discount_id
C-LHC-31085,0.0,dis_07dcedbb-bcb9-4ef0-9bb0-de3555442df8
peer baba,0.0,dis_3cd35c96-d423-4496-8c6b-b385e718ac4d
C-KHE-34256,0.0,dis_a9a3a03a-d5f7-46f6-9f84-0e32292cbc85
C-FSD-41440,0.0,dis_25d50a75-a4d6-4458-97eb-cc4e4eb60af2
C-LHC-42722,0.0,dis_6b6371b2-f021-4a6e-bb75-802871ef7dba
C-LHC-47480,0.0,dis_0a7158f4-9fb3-4f7d-b3b8-4cb83d6b2b6d
C-LHC-103204,0.0,dis_96264bb8-6473-4a58-a8d1-685a4098adc4
C-LHC-42935,0.0,dis_0f82bfaa-033d-423c-8706-f963cbbed933
C-LHC-30373,0.0,dis_229257b7-20e6-4232-ba81-a31903a4200c
30299,0.0,dis_36ca133a-379a-4a5a-90c8-66b7c70805e4
C-LHC-33817,0.0,dis_133e1a8e-6993-4678-ad16-bc1b2bc3399a
C-LHC-42241,0.0,dis_ce4ce649-d779-432d-8caf-4c3fbb42bea8
C-LHC-100971,0.0,dis_b77401fb-cd3a-4290-b7d8-d1698b97032b
C-LHC-40278,0.0,dis_529ed60a-ce1c-41d0-b1d0-4fc14919387e
C-LHC-103208,0.0,dis_6414917f-9c1b-431d-ada5-fc4b3b0f8d32
C-LHC-31455,0.0,dis_546696f5-b2cd-4d1e-9be7-b339edec654b
C-LHC-101518,0.0,dis_c94570b8-f093-4ee5-b2e4-a592efa34b03
C-LHC-30695,0.0,dis_2cc97e9d-f362-479f-a139-093f13009c2a
C-LHC-33105,0.0,dis_dcd3931b-6629-4e79-b4ac-4392e5d5424d
C-LHC-31542,0.0,dis_2c0a82e8-e2d9-4624-bc3e-e61832c764d4
C-LHC-40347,0.0,dis_1ca3bf78-de85-4ac7-9fc3-941c4b66f9ce
C-LHC-47612,0.0,dis_7673d429-f2c2-42bb-a58f-29bef3ecf2e2
C-KHIW-30261,0.0,dis_f331241d-67e0-4109-8dee-7c2b350718e1
